batch,true_std,pred_std,mse,mae,true_jaggedness,pred_jaggedness,jaggedness_ratio
1,0.023531826213002205,0.02688477747142315,0.030957767739892006,0.17473948001861572,0.010785017162561417,0.02376786433160305,2.2037835121154785
2,0.023856814950704575,0.023343516513705254,0.02171892486512661,0.145724818110466,0.013422362506389618,0.024666594341397285,1.8377223014831543
3,0.011170226149260998,0.028002044185996056,0.022768331691622734,0.14787092804908752,0.009901539422571659,0.025571191683411598,2.5825443267822266
4,0.03441830351948738,0.029965873807668686,0.01209327857941389,0.10500291734933853,0.019927408546209335,0.029667532071471214,1.4887795448303223
5,0.04852277785539627,0.03189520910382271,0.011069699190557003,0.08243134617805481,0.014462927356362343,0.032326601445674896,2.2351338863372803
6,0.022829562425613403,0.024819687008857727,0.0017976699164137244,0.03588094189763069,0.01270249579101801,0.027002647519111633,2.1257731914520264
7,0.03861811012029648,0.027249757200479507,0.00963384099304676,0.09176808595657349,0.015922293066978455,0.026236513629555702,1.647783875465393
8,0.02330937422811985,0.021899905055761337,0.002024036832153797,0.03695310279726982,0.01018947921693325,0.024497348815202713,2.4041781425476074
9,0.021102791652083397,0.02208978310227394,0.0015410063788294792,0.03294773027300835,0.010163304395973682,0.025315070524811745,2.490828275680542
10,0.026082266122102737,0.023462500423192978,0.030830249190330505,0.17389518022537231,0.012034965679049492,0.01783335767686367,1.4817942380905151
