batch,true_std,pred_std,mse,mae,true_jaggedness,pred_jaggedness,jaggedness_ratio
1,0.008483756333589554,0.012656542472541332,0.014513716101646423,0.11941375583410263,0.006531223189085722,0.012934171594679356,1.9803568124771118
2,0.0368405357003212,0.029402466490864754,0.01629481464624405,0.12419542670249939,0.01085046585649252,0.01722470484673977,1.5874607563018799
3,0.030460761860013008,0.02593802474439144,0.06456355005502701,0.25248441100120544,0.013834665529429913,0.03116634115576744,2.252769947052002
4,0.07075044512748718,0.04810461029410362,0.05094126984477043,0.22319845855236053,0.025267573073506355,0.022386405616998672,0.8859733939170837
5,0.04795229062438011,0.0400170236825943,0.07496992498636246,0.27032706141471863,0.02079780213534832,0.03744823858141899,1.8005855083465576
6,0.033537909388542175,0.018930060788989067,0.0072633046656847,0.0773056373000145,0.010876637883484364,0.021738803014159203,1.9986674785614014
7,0.13748514652252197,0.07992888242006302,0.01714988611638546,0.11261773109436035,0.04155633971095085,0.04654686525464058,1.1200902462005615
8,0.1040545254945755,0.07494832575321198,0.02398664690554142,0.14687421917915344,0.04887286573648453,0.04388831928372383,0.898009717464447
9,0.07542300969362259,0.054205600172281265,0.08131401985883713,0.2836179733276367,0.023716557770967484,0.021548409014940262,0.9085804224014282
10,0.020108366385102272,0.025016946718096733,0.0413433276116848,0.20209550857543945,0.01122347917407751,0.020791154354810715,1.8524678945541382
