Experiment no,d_model,d_ff,distill,time embedding,dropout,learnable params,Early Stopping Step,train loss,validation loss,jaggedness_ratio (pred/real),MSE,MAE
d16_nodist_notime_drop0.05,16,64,False,False,0.050000,19009,2210,0.007889,0.188003,0.327500,0.213600,0.444200
d16_nodist_notime_drop0.1,16,64,False,False,0.100000,19009,2210,0.008450,0.198658,0.326700,0.213700,0.444300
d16_nodist_time_drop0.05,16,64,False,True,0.050000,20025,10000,0.002765,0.058595,3.989500,0.047600,0.201600
d16_nodist_time_drop0.1,16,64,False,True,0.100000,20025,7710,0.004111,0.077203,1.797300,0.051400,0.204300
d32_nodist_notime_drop0.05,32,128,False,False,0.050000,72833,8510,0.003811,0.013579,0.707500,0.007600,0.075200
d32_nodist_notime_drop0.1,32,128,False,False,0.100000,72833,8510,0.003925,0.011955,0.726400,0.006900,0.070700
d32_nodist_time_drop0.05,32,128,False,True,0.050000,75033,9910,0.001883,0.013756,1.084700,0.009600,0.085000
d32_nodist_time_drop0.1,32,128,False,True,0.100000,75033,9910,0.001941,0.013796,1.121500,0.009600,0.084900
d64_nodist_notime_drop0.05,64,256,False,False,0.050000,284929,5610,0.001597,0.004060,0.801400,0.001400,0.029200
d64_nodist_notime_drop0.1,64,256,False,False,0.100000,284929,6610,0.001316,0.006505,0.881300,0.004700,0.043700
d64_nodist_time_drop0.05,64,256,False,True,0.050000,291033,7910,0.000956,0.006983,0.781400,0.005700,0.065300
d64_nodist_time_drop0.1,64,256,False,True,0.100000,291033,7010,0.001625,0.012895,0.831700,0.004700,0.052700
