Experiment no,d_model,d_ff,distill,time embedding,dropout,learnable params,Best Val Step,train loss,best validation loss,jaggedness_ratio (pred/real),MSE,MAE
d32_nodist_notime_drop0.05,32,128,False,False,0.050000,72961,2700,0.003931,0.012197,1.138000,0.008700,0.082600
d32_nodist_notime_drop0.05,32,128,False,False,0.050000,72833,7000,0.003712,0.009351,0.715500,0.006400,0.068300
d32_nodist_notime_drop0.1,32,128,False,False,0.100000,72961,4800,0.005322,0.008018,1.082800,0.007500,0.068800
d32_nodist_notime_drop0.1,32,128,False,False,0.100000,72833,7000,0.003926,0.008971,0.701500,0.006300,0.067700
d32_nodist_time_drop0.05,32,128,False,True,0.050000,75225,6200,0.002207,0.012753,1.141300,0.013600,0.103700
d32_nodist_time_drop0.05,32,128,False,True,0.050000,75097,8300,0.010230,0.017540,0.847400,0.021300,0.138000
d32_nodist_time_drop0.1,32,128,False,True,0.100000,75225,6200,0.002327,0.010203,1.175300,0.010900,0.091600
d32_nodist_time_drop0.1,32,128,False,True,0.100000,75097,8300,0.010342,0.014916,0.850000,0.018500,0.126600
d64_nodist_notime_drop0.05,64,256,False,False,0.050000,285185,3500,0.002512,0.004728,1.098100,0.008500,0.074700
d64_nodist_notime_drop0.05,64,256,False,False,0.050000,284929,4100,0.001868,0.002546,0.807400,0.001300,0.028300
d64_nodist_notime_drop0.1,64,256,False,False,0.100000,285185,3500,0.002918,0.004686,1.089700,0.009000,0.078700
d64_nodist_notime_drop0.1,64,256,False,False,0.100000,284929,5400,0.002193,0.002932,0.857400,0.004700,0.054900
d64_nodist_time_drop0.05,64,256,False,True,0.050000,291417,4400,0.001900,0.007102,1.079600,0.007600,0.068100
d64_nodist_time_drop0.05,64,256,False,True,0.050000,291161,4400,0.001935,0.008608,0.894300,0.009800,0.080200
d64_nodist_time_drop0.1,64,256,False,True,0.100000,291417,5800,0.002170,0.006805,0.904000,0.005800,0.059400
d64_nodist_time_drop0.1,64,256,False,True,0.100000,291161,4400,0.002025,0.007841,0.899200,0.008900,0.075200
