batch,true_std,pred_std,mse,mae,true_jaggedness,pred_jaggedness,jaggedness_ratio,ll_best_lag_by_hit,ll_best_hit_ratio,ll_best_lag_by_corr,ll_best_corr,ll_zero_lag_hit,ll_zero_lag_corr
1,0.015642063692212105,0.011205308139324188,0.02669389545917511,0.16298554837703705,0.009849180467426777,0.0074821761809289455,0.7596741914749146,-21,1.0,-21,1.0,0.6521739130434783,0.6671720193383479
2,0.02529751881957054,0.017374174669384956,0.017068037763237953,0.12617628276348114,0.010438167490065098,0.012154102325439453,1.1643892526626587,-22,1.0,-19,0.7415906829050439,0.782608695652174,0.6494508723329392
3,0.0325547493994236,0.035613104701042175,0.010564091615378857,0.10214199870824814,0.010137133300304413,0.009710835292935371,0.9579459428787231,-20,1.0,21,0.9999999999999999,0.6956521739130435,0.6187623666226235
4,0.02107207104563713,0.017233887687325478,0.041750192642211914,0.20352625846862793,0.013703770935535431,0.007436695508658886,0.542674720287323,-19,1.0,-20,0.61076053005609,0.6086956521739131,0.5743848847109052
5,0.07598824799060822,0.06898905336856842,0.02648319862782955,0.16097547113895416,0.04190317541360855,0.027341743931174278,0.6524979472160339,-22,1.0,-21,1.0,0.9130434782608695,0.8889609045106267
6,0.027263201773166656,0.038006674498319626,0.01652861386537552,0.1276210993528366,0.010405451990664005,0.012229898944497108,1.1753345727920532,-21,1.0,-21,1.0,0.6521739130434783,0.6700880795974011
7,0.01976785808801651,0.01970105990767479,0.001642125193029642,0.03844368830323219,0.014711595140397549,0.010838120244443417,0.736705482006073,7,0.8125,-19,0.8906173677655529,0.7391304347826086,0.7916850383385929
8,0.027527235448360443,0.020449725911021233,0.025570496916770935,0.15891054272651672,0.012617422267794609,0.012410905212163925,0.9836316108703613,-20,1.0,-21,1.0,0.8260869565217391,0.8071037355166525
9,0.04611015319824219,0.03665114566683769,0.015431556850671768,0.12320782989263535,0.018854135647416115,0.016377251595258713,0.8686286807060242,20,1.0,-21,1.0,0.8260869565217391,0.836199045211266
10,0.04296088218688965,0.033700939267873764,0.031108269467949867,0.17556266486644745,0.011805933900177479,0.007469628006219864,0.6327006220817566,22,1.0,-21,1.0,0.5652173913043478,0.4557965351180631
