batch,true_std,pred_std,mse,mae,true_jaggedness,pred_jaggedness,jaggedness_ratio,ll_best_lag_by_hit,ll_best_hit_ratio,ll_best_lag_by_corr,ll_best_corr,ll_zero_lag_hit,ll_zero_lag_corr
1,0.034474436193704605,0.031833261251449585,0.0008300336194224656,0.022705191746354103,0.022270269691944122,0.014671673066914082,0.6588006019592285,-22,1.0,-21,1.0,0.9130434782608695,0.7806151962034544
2,0.04100861772894859,0.03470675274729729,0.00021096323325764388,0.011051262728869915,0.021098831668496132,0.01649988442659378,0.7820280194282532,-22,1.0,0,0.8604408427931296,0.9130434782608695,0.8604408427931296
3,0.03637923672795296,0.04784655198454857,0.001808291650377214,0.03569718822836876,0.02395869605243206,0.023979848250746727,1.0008825063705444,-15,0.875,0,0.8740312854948922,0.8695652173913043,0.8740312854948922
4,0.036829542368650436,0.038192715495824814,0.0008786393445916474,0.022615903988480568,0.02605287730693817,0.025733472779393196,0.9877398014068604,-22,1.0,-21,1.0,0.8260869565217391,0.8807478308339531
5,0.02079286426305771,0.015253625810146332,0.00015929026994854212,0.0110009191557765,0.013121332973241806,0.012691352516412735,0.9672296643257141,-22,1.0,-20,0.9456108695561178,0.782608695652174,0.8253101440454689
6,0.017427191138267517,0.013481182977557182,0.0005984415765851736,0.021661750972270966,0.01225748285651207,0.008815708570182323,0.7192097306251526,-22,1.0,-21,1.0,0.6521739130434783,0.7917921908411915
7,0.037807345390319824,0.029301753267645836,0.0018650047713890672,0.035060033202171326,0.021144643425941467,0.014530560001730919,0.6871978640556335,-22,1.0,21,1.0,0.6956521739130435,0.5886420285569359
8,0.0260173287242651,0.019878631457686424,0.0018731927266344428,0.0405103899538517,0.011616144329309464,0.008616933599114418,0.7418060302734375,-20,1.0,-21,1.0,0.7391304347826086,0.5842851565339013
9,0.025839731097221375,0.021985521540045738,0.0035622541327029467,0.053828779608011246,0.019502028822898865,0.015439582988619804,0.7916907668113708,20,1.0,0,0.8465469312666176,0.8695652173913043,0.8465469312666176
10,0.029421862214803696,0.01938825286924839,0.0010911101708188653,0.029039019718766212,0.013540169224143028,0.009988579899072647,0.7376992106437683,22,1.0,-21,1.0,0.8260869565217391,0.8317118889445745
