batch,true_std,pred_std,mse,mae,true_jaggedness,pred_jaggedness,jaggedness_ratio,ll_best_lag_by_hit,ll_best_hit_ratio,ll_best_lag_by_corr,ll_best_corr,ll_zero_lag_hit,ll_zero_lag_corr
1,0.034474436193704605,0.03146113455295563,0.0007250623311847448,0.02119380235671997,0.022270269691944122,0.015166277065873146,0.6810097694396973,-17,1.0,0,0.8276622684125992,0.9565217391304348,0.8276622684125992
2,0.04100861772894859,0.033996179699897766,0.00023246370255947113,0.01136587280780077,0.021098831668496132,0.015265521593391895,0.7235241532325745,0,0.9130434782608695,0,0.8204086909918739,0.9130434782608695,0.8204086909918739
3,0.03637923672795296,0.04742809757590294,0.0018109044758602977,0.03542624041438103,0.02395869605243206,0.024037130177021027,1.003273367881775,-15,0.875,0,0.8740138998550839,0.8695652173913043,0.8740138998550839
4,0.036829542368650436,0.03832815960049629,0.0008567486074753106,0.022572537884116173,0.02605287730693817,0.02641177363693714,1.01377534866333,0,0.782608695652174,0,0.8775368782433295,0.782608695652174,0.8775368782433295
5,0.02079286426305771,0.015165616758167744,0.00013463101640809327,0.009816326200962067,0.013121332973241806,0.011743410490453243,0.8949853777885437,11,0.8333333333333334,0,0.8282257733847418,0.8260869565217391,0.8282257733847418
6,0.017427191138267517,0.013211090117692947,0.0005145607865415514,0.020087135955691338,0.01225748285651207,0.009441845118999481,0.7702916860580444,16,0.8571428571428571,0,0.8024208892669744,0.6086956521739131,0.8024208892669744
7,0.037807345390319824,0.029296213760972023,0.0019580735825002193,0.03575213626027107,0.021144643425941467,0.013326079584658146,0.6302340030670166,-9,0.7142857142857143,-14,0.6388479508068619,0.6521739130434783,0.6057904818672308
8,0.0260173287242651,0.020217018201947212,0.002015000442042947,0.04249083995819092,0.011616144329309464,0.009234214201569557,0.7949458956718445,15,0.875,0,0.6382741206247623,0.782608695652174,0.6382741206247623
9,0.025839731097221375,0.02182001806795597,0.003066481091082096,0.04881201311945915,0.019502028822898865,0.015224119648337364,0.7806425094604492,0,0.8260869565217391,0,0.8263406108937239,0.8260869565217391,0.8263406108937239
10,0.029421862214803696,0.019135890528559685,0.0009835431119427085,0.027324460446834564,0.013540169224143028,0.01033708080649376,0.7634375095367432,-9,0.8571428571428571,0,0.8497899439519754,0.8260869565217391,0.8497899439519754
