batch,true_std,pred_std,mse,mae,true_jaggedness,pred_jaggedness,jaggedness_ratio,ll_best_lag_by_hit,ll_best_hit_ratio,ll_best_lag_by_corr,ll_best_corr,ll_zero_lag_hit,ll_zero_lag_corr
1,0.08563411235809326,0.03627876192331314,0.03381052240729332,0.17551803588867188,0.030352499336004257,0.022438645362854004,0.7392682433128357,0,0.782608695652174,0,0.7812597158723769,0.782608695652174,0.7812597158723769
2,0.04037219285964966,0.03327256441116333,0.0020690010860562325,0.04338698461651802,0.01688430644571781,0.017449602484703064,1.0334800481796265,0,0.8260869565217391,0,0.9040016784882122,0.8260869565217391,0.9040016784882122
3,0.036810245364904404,0.045854903757572174,0.007525596302002668,0.08266697824001312,0.016779599711298943,0.01814473792910576,1.081356406211853,16,0.8571428571428571,-18,0.9303283250672415,0.6956521739130435,0.7925188856243524
4,0.04947211220860481,0.0333329439163208,0.0028880105819553137,0.042290907353162766,0.0208763238042593,0.02117806114256382,1.0144531726837158,12,0.8181818181818182,-18,0.9423797176533202,0.6956521739130435,0.8441021059665375
5,0.031064439564943314,0.036709342151880264,0.02207151986658573,0.1465439349412918,0.017329314723610878,0.013176052831113338,0.7603327631950378,-5,0.8333333333333334,0,0.6580540625800746,0.8260869565217391,0.6580540625800746
6,0.019185401499271393,0.016287589445710182,0.005806034430861473,0.07243383675813675,0.008363630622625351,0.012156159617006779,1.4534530639648438,-17,0.8333333333333334,-18,0.7957701052613722,0.6956521739130435,0.5999242921865039
7,0.05432242900133133,0.06192845106124878,0.0052865128964185715,0.06906390190124512,0.02389979362487793,0.02795054018497467,1.1694883108139038,-18,0.8,17,0.8415247271980201,0.782608695652174,0.7556954440443858
8,0.030691100284457207,0.021475398913025856,0.0011732628336176276,0.029141448438167572,0.013533628545701504,0.013679802417755127,1.0108000040054321,14,0.8888888888888888,0,0.6451959542046604,0.782608695652174,0.6451959542046604
9,0.03773471340537071,0.03811015188694,0.0007721746223978698,0.024729987606406212,0.016354214400053024,0.01774648390710354,1.0851315259933472,0,0.9130434782608695,0,0.793198890179943,0.9130434782608695,0.793198890179943
10,0.02612077258527279,0.020603062584996223,0.005262948106974363,0.06944935023784637,0.0076241157948970795,0.012658311985433102,1.66029691696167,-2,0.7142857142857143,-13,0.5405676802128314,0.6086956521739131,0.374272077356849
