,ADA,ALGO,BTC,ETH,LTC,SOL,XRP,DOT,LINK,XLM,DOGE,AVAX,AAVE,PEPE,XTZ,TAO,TRX
2025-01-01 00:00:00+00:00,0.858086,0.34031,94241.7,3356.89,104.84,192.19,2.1072,6.7275,20.18474,0.341951,0.3206328,36.13,312.93,2.0545e-05,1.286,447.2222,0.254827
2025-01-01 01:00:00+00:00,0.851161,0.33644,93422.6,3338.27,104.77,190.39,2.09101,6.6612,19.96151,0.337352,0.3178837,35.69,313.06,2.0388e-05,1.2876,442.0084,0.254749
2025-01-01 02:00:00+00:00,0.855154,0.33911,93875.1,3354.41,104.58,191.13,2.1,6.6637,20.05394,0.339198,0.3193808,35.73,313.7,2.039e-05,1.2859,443.4183,0.255544
2025-01-01 03:00:00+00:00,0.850485,0.33538,93625.1,3347.1,104.0,189.91,2.10264,6.6542,20.03606,0.338522,0.3181977,35.55,311.82,2.0392e-05,1.29,441.4481,0.255487
2025-01-01 04:00:00+00:00,0.8479,0.33036,93327.8,3335.68,104.04,189.05,2.09904,6.6213,19.88383,0.339588,0.3156251,35.32,309.58,2.012e-05,1.2807,443.1588,0.254842
2025-01-01 05:00:00+00:00,0.854406,0.33659,93628.7,3337.58,105.05,189.63,2.13066,6.6561,19.99511,0.353334,0.3169651,35.46,310.01,2.0024e-05,1.2917,445.0,0.255119
2025-01-01 06:00:00+00:00,0.855333,0.33439,93521.8,3338.6,104.91,189.89,2.13909,6.6535,19.96591,0.355042,0.317646,35.62,310.78,2.0101e-05,1.2966,443.5985,0.25545
2025-01-01 07:00:00+00:00,0.8505,0.33423,93518.7,3338.99,103.92,189.8,2.11911,6.6357,19.9391,0.347484,0.316063,35.55,313.08,2.0018e-05,1.2858,443.8646,0.254955
2025-01-01 08:00:00+00:00,0.845,0.33,93242.9,3329.94,102.61,189.15,2.10688,6.5834,19.82223,0.343056,0.3134235,35.26,309.44,1.9709e-05,1.2792,441.0264,0.254085
2025-01-01 09:00:00+00:00,0.844498,0.32874,93208.7,3326.51,102.69,188.74,2.10134,6.5444,19.73977,0.346667,0.3131324,35.12,308.71,1.9297e-05,1.2652,435.7175,0.252766
2025-01-01 10:00:00+00:00,0.842313,0.32803,93099.5,3320.07,102.54,189.96,2.10472,6.5598,19.814,0.34368,0.313519,35.17,308.17,1.9158e-05,1.2752,442.0469,0.252864
